id,author,filename,dateexecuted,orderexecuted,exectype,md5sum,description,comments,tag,liquibase,contexts,labels,deployment_id
edp6-1 (createTable tableName=users),centos,Changelog/changelog.xml,2019-11-10 21:27:51.465132,1,EXECUTED,8:867a54190bada52b3f736d004e4adb4c,createTable tableName=users,"",,UNKNOWN,,,3421271450
edp6-2 (createTable tableName=records),centos,Changelog/changelog.xml,2019-11-10 21:27:51.468876,2,EXECUTED,8:a2c153e33351d2b1019b6737629c0fc0,createTable tableName=records,"",,UNKNOWN,,,3421271450
edp6-3 (createTable tableName=patients),centos,Changelog/changelog.xml,2019-11-10 21:27:51.470483,3,EXECUTED,8:ca625d89cd6c27c1cb47518825e5228c,createTable tableName=patients,"",,UNKNOWN,,,3421271450
edp6-4 (createTable tableName=payments),centos,Changelog/changelog.xml,2019-11-10 21:27:51.472036,4,EXECUTED,8:1c7fd9c1ec0e8e419d2d19341cb55448,createTable tableName=payments,"",,UNKNOWN,,,3421271450
edp6-5 (createTable tableName=billings),centos,Changelog/changelog.xml,2019-11-10 21:27:51.473556,5,EXECUTED,8:50ae046c862284be3e2175c8cbc6ffb3,createTable tableName=billings,"",,UNKNOWN,,,3421271450
edp6-6 (createSequence sequenceName=hibernate_sequence),centos,Changelog/changelog.xml,2019-11-10 21:27:51.475513,6,EXECUTED,8:a76efe7b291ddb60b90c193e0ba21b5a,createSequence sequenceName=hibernate_sequence,"",,UNKNOWN,,,3421271450
